census_tract,_rm_per_1000,rm_no,county_code,county,state_code,census_tract_np,census_tract_period,total_population,62yr_pp_pct,median_age,hispanic_pp_pct,non_hispanic_black_pp_pct
06073016901,1.3464386697185944,10,06073, San Diego County,CA,16901,169.01,7427,19.7%,42.4,13.5%,5.1%
06073013414,1.3462574044157243,10,06073, San Diego County,CA,13414,134.14,7428,19.6%,43.4,42.3%,5.2%
06073019207,1.3446421183285064,13,06073, San Diego County,CA,19207,192.07,9668,17.5%,35.3,46.0%,4.4%
06073020809,1.3345789403443213,10,06073, San Diego County,CA,20809,208.09,7493,16.0%,36.3,41.2%,0.7%
06073020024,1.3283152534868274,6,06073, San Diego County,CA,20024,200.24,4517,24.7%,43,39.1%,0.8%
06073017106,1.3221683561040105,6,06073, San Diego County,CA,17106,171.06,4538,34.0%,50.7,10.7%,0.0%
06073013000,1.3199142055766375,8,06073, San Diego County,CA,13000,130,6061,16.6%,33.2,68.9%,4.3%
06073005600,1.3080444735120995,6,06073, San Diego County,CA,5600,56,4587,23.5%,39.5,23.5%,4.1%
06073007800,1.2997562956945572,8,06073, San Diego County,CA,7800,78,6155,8.7%,31.3,29.5%,2.7%
06073008350,1.289583034818742,9,06073, San Diego County,CA,8350,83.5,6979,17.4%,34.1,6.0%,2.2%
06073008006,1.2810658467845246,5,06073, San Diego County,CA,8006,80.06,3903,15.8%,37.1,9.6%,1.3%
06073003209,1.2799414883891023,7,06073, San Diego County,CA,3209,32.09,5469,14.9%,36,34.3%,12.9%
06073003603,1.2797542871768621,5,06073, San Diego County,CA,3603,36.03,3907,10.4%,28.6,90.8%,3.1%
06073015404,1.2769761205465457,10,06073, San Diego County,CA,15404,154.04,7831,19.1%,39.4,19.3%,4.1%
06073004900,1.2715712988192551,7,06073, San Diego County,CA,4900,49,5505,13.0%,29.7,85.9%,3.1%
06073010110,1.2704865963664085,10,06073, San Diego County,CA,10110,101.1,7871,16.5%,36.5,64.6%,1.1%
06073017900,1.2677841949570363,9,06073, San Diego County,CA,17900,179,7099,15.9%,39,36.0%,0.8%
06073018904,1.2603528988116672,7,06073, San Diego County,CA,18904,189.04,5554,22.0%,34.7,52.5%,1.7%
06073003111,1.2496094970321774,8,06073, San Diego County,CA,3111,31.11,6402,14.2%,28.6,56.8%,14.3%
06073002801,1.2445550715619167,4,06073, San Diego County,CA,2801,28.01,3214,9.9%,20.9,15.2%,2.5%
06073008356,1.2413108242303874,5,06073, San Diego County,CA,8356,83.56,4028,12.6%,33.5,17.0%,7.7%
06073013419,1.2392969806219019,11,06073, San Diego County,CA,13419,134.19,8876,11.6%,35.4,54.4%,6.3%
