geo_id,census_tract,tract_name,population,hispanic_pp,black_pp,hispanic_pp_pct,black_pp_pct
1400000US06037113211,06037113211,"Census Tract 1132.11, Los Angeles County, California",4264,611,361,14.329268292682926,8.466228893058162
1400000US06037113212,06037113212,"Census Tract 1132.12, Los Angeles County, California",2998,852,132,28.418945963975982,4.402935290193462
1400000US06037113213,06037113213,"Census Tract 1132.13, Los Angeles County, California",5652,1864,290,32.9794762915782,5.130927105449398
1400000US06037113231,06037113231,"Census Tract 1132.31, Los Angeles County, California",2275,183,62,8.043956043956044,2.7252747252747254
1400000US06037113232,06037113232,"Census Tract 1132.32, Los Angeles County, California",4394,717,200,16.317705962676378,4.551661356395084
1400000US06037113234,06037113234,"Census Tract 1132.34, Los Angeles County, California",5400,3034,84,56.18518518518518,1.5555555555555556
1400000US06037113235,06037113235,"Census Tract 1132.35, Los Angeles County, California",1699,424,128,24.955856386109478,7.533843437316068
1400000US06037113237,06037113237,"Census Tract 1132.37, Los Angeles County, California",5004,1377,647,27.51798561151079,12.929656274980017
1400000US06037113238,06037113238,"Census Tract 1132.38, Los Angeles County, California",4313,2487,346,57.66287966612567,8.02225828889404
1400000US06037113239,06037113239,"Census Tract 1132.39, Los Angeles County, California",2183,1412,35,64.68163078332569,1.603298213467705
1400000US06037113301,06037113301,"Census Tract 1133.01, Los Angeles County, California",3972,644,211,16.2134944612286,5.312185297079557
1400000US06037113303,06037113303,"Census Tract 1133.03, Los Angeles County, California",3779,1076,114,28.47314104260386,3.0166710770044984
1400000US06037113322,06037113322,"Census Tract 1133.22, Los Angeles County, California",4680,1297,545,27.713675213675216,11.645299145299145
1400000US06037113323,06037113323,"Census Tract 1133.23, Los Angeles County, California",4029,1592,235,39.513526929759244,5.83271283196823
1400000US06037113324,06037113324,"Census Tract 1133.24, Los Angeles County, California",2844,1714,309,60.26722925457103,10.864978902953586
1400000US06037113423,06037113423,"Census Tract 1134.23, Los Angeles County, California",3017,1721,77,57.04342061650647,2.5522041763341066
1400000US06037113424,06037113424,"Census Tract 1134.24, Los Angeles County, California",3493,1536,64,43.973661608932154,1.8322359003721727
1400000US06037113425,06037113425,"Census Tract 1134.25, Los Angeles County, California",4407,2836,307,64.35216700703427,6.96619015203086
1400000US06037113426,06037113426,"Census Tract 1134.26, Los Angeles County, California",2414,889,46,36.826843413421706,1.9055509527754766
1400000US06037113427,06037113427,"Census Tract 1134.27, Los Angeles County, California",1770,642,211,36.271186440677965,11.92090395480226
1400000US06037113428,06037113428,"Census Tract 1134.28, Los Angeles County, California",4237,1346,67,31.767760207694124,1.5813075289119662
1400000US06037115101,06037115101,"Census Tract 1151.01, Los Angeles County, California",4932,1072,241,21.73560421735604,4.886455798864557
1400000US06037115103,06037115103,"Census Tract 1151.03, Los Angeles County, California",3181,1068,476,33.57434768940585,14.963847846589124
1400000US06037115104,06037115104,"Census Tract 1151.04, Los Angeles County, California",4619,1168,824,25.28685862740853,17.83935916865122
1400000US06037115202,06037115202,"Census Tract 1152.02, Los Angeles County, California",6393,3054,529,47.77099953073674,8.274675426247457
1400000US06037115203,06037115203,"Census Tract 1152.03, Los Angeles County, California",2652,1082,33,40.79939668174962,1.244343891402715
1400000US06037115204,06037115204,"Census Tract 1152.04, Los Angeles County, California",4054,782,539,19.289590527873703,13.295510606808092
1400000US06037115301,06037115301,"Census Tract 1153.01, Los Angeles County, California",4648,915,172,19.685886402753873,3.7005163511187606
1400000US06037115302,06037115302,"Census Tract 1153.02, Los Angeles County, California",3835,2822,158,73.58539765319426,4.119947848761408
1400000US06037115401,06037115401,"Census Tract 1154.01, Los Angeles County, California",6185,2850,209,46.079223928860145,3.3791430881164106
1400000US06037115403,06037115403,"Census Tract 1154.03, Los Angeles County, California",3597,2167,282,60.24464831804281,7.839866555462886
1400000US06037115404,06037115404,"Census Tract 1154.04, Los Angeles County, California",2897,1367,242,47.186744908526066,8.353469105971694
1400000US06037117101,06037117101,"Census Tract 1171.01, Los Angeles County, California",5094,1901,430,37.31841382018061,8.441303494307027
1400000US06037117102,06037117102,"Census Tract 1171.02, Los Angeles County, California",2745,1704,54,62.076502732240435,1.9672131147540985
1400000US06037117201,06037117201,"Census Tract 1172.01, Los Angeles County, California",5126,3566,92,69.56691377292236,1.7947717518532968
1400000US06037117202,06037117202,"Census Tract 1172.02, Los Angeles County, California",2857,1182,180,41.37206860343017,6.300315015750788
1400000US06037117301,06037117301,"Census Tract 1173.01, Los Angeles County, California",3679,1325,67,36.01522152758902,1.8211470508290295
1400000US06037117302,06037117302,"Census Tract 1173.02, Los Angeles County, California",4932,1141,404,23.13463098134631,8.19140308191403
