census_tract,_rm_per_1000,rm_no,county_code,county,state_code,census_tract_np,census_tract_period,total_population,62yr_pp_pct,median_age,hispanic_pp_pct,non_hispanic_black_pp_pct
06067007017,0.6044122091266244,2,06067, Sacramento County,CA,7017,70.17,3309,10.8%,34.7,30.2%,15.5%
06067009634,0.5926511260371395,3,06067, Sacramento County,CA,9634,96.34,5062,8.3%,29.7,33.7%,17.4%
06067009601,0.5906674542232723,4,06067, Sacramento County,CA,9601,96.01,6772,12.9%,31.9,29.6%,25.3%
06067002700,0.5875440658049353,2,06067, Sacramento County,CA,2700,27,3404,8.5%,34.3,31.6%,17.2%
06067004100,0.5874290189935383,3,06067, Sacramento County,CA,4100,41,5107,18.2%,33.2,29.8%,16.2%
06067001800,0.5822981366459627,3,06067, Sacramento County,CA,1800,18,5152,12.0%,34,23.4%,10.9%
06067003101,0.5748778384593274,2,06067, Sacramento County,CA,3101,31.01,3479,14.5%,32.7,57.9%,3.6%
06067007429,0.573394495412844,3,06067, Sacramento County,CA,7429,74.29,5232,10.0%,29.1,23.3%,23.7%
06067006202,0.5488474204171241,2,06067, Sacramento County,CA,6202,62.02,3644,15.7%,34.3,34.1%,19.5%
06067006600,0.5416384563303994,4,06067, Sacramento County,CA,6600,66,7385,10.3%,30,39.0%,14.4%
06067007413,0.5377789728421619,4,06067, Sacramento County,CA,7413,74.13,7438,14.3%,30.2,22.7%,9.2%
06067009632,0.5364087434625184,4,06067, Sacramento County,CA,9632,96.32,7457,12.8%,35.9,16.6%,13.2%
06067004903,0.5338315761377286,4,06067, Sacramento County,CA,4903,49.03,7493,10.0%,29.5,25.4%,19.3%
06067003800,0.5287275290800141,3,06067, Sacramento County,CA,3800,38,5674,16.1%,35.5,41.5%,24.5%
06067005101,0.5281225244256668,2,06067, Sacramento County,CA,5101,51.01,3787,19.1%,40.1,21.8%,9.2%
06067007107,0.5252100840336135,2,06067, Sacramento County,CA,7107,71.07,3808,15.3%,40.3,14.7%,15.4%
06067007004,0.5029548598013328,4,06067, Sacramento County,CA,7004,70.04,7953,7.2%,29.3,43.2%,19.4%
06067004010,0.5015883631499749,3,06067, Sacramento County,CA,4010,40.1,5981,22.5%,34.5,18.4%,16.9%
06067007016,0.4966887417218543,3,06067, Sacramento County,CA,7016,70.16,6040,12.5%,31,19.8%,13.7%
06067004202,0.47221784983472376,3,06067, Sacramento County,CA,4202,42.02,6353,19.8%,39.1,41.2%,20.5%
06067007802,0.46522447080716445,2,06067, Sacramento County,CA,7802,78.02,4299,31.0%,48.6,13.8%,1.9%
06067008009,0.4433606739082243,2,06067, Sacramento County,CA,8009,80.09,4511,24.1%,45.2,13.6%,4.9%
06067005102,0.42973785990545765,2,06067, Sacramento County,CA,5102,51.02,4654,21.4%,37.9,31.2%,8.3%
06067008136,0.4288164665523156,1,06067, Sacramento County,CA,8136,81.36,2332,23.3%,44.4,11.4%,0.9%
06067006500,0.42832667047401485,3,06067, Sacramento County,CA,6500,65,7004,9.6%,28.4,30.6%,20.7%
06067009610,0.4281432852861424,3,06067, Sacramento County,CA,9610,96.1,7007,14.5%,31.9,23.0%,20.2%
06067006800,0.4185267857142857,3,06067, Sacramento County,CA,6800,68,7168,8.2%,30.2,62.3%,7.5%
06067005205,0.4166666666666667,1,06067, Sacramento County,CA,5205,52.05,2400,21.5%,28.8,40.1%,7.6%
06067008117,0.41169205434335115,1,06067, Sacramento County,CA,8117,81.17,2429,18.1%,35.3,25.1%,2.6%
06067004702,0.4043671653861706,2,06067, Sacramento County,CA,4702,47.02,4946,11.8%,28.1,39.0%,18.9%
06067009318,0.4032258064516129,1,06067, Sacramento County,CA,9318,93.18,2480,12.5%,31.8,19.1%,18.3%
06067009606,0.4006410256410256,3,06067, Sacramento County,CA,9606,96.06,7488,15.2%,30.8,28.0%,20.1%
06067002200,0.3919263178522438,2,06067, Sacramento County,CA,2200,22,5103,9.4%,28.5,27.5%,14.6%
06067006702,0.37845338715781507,3,06067, Sacramento County,CA,6702,67.02,7927,11.1%,30,35.2%,17.4%
06067008911,0.3776435045317221,1,06067, Sacramento County,CA,8911,89.11,2648,8.9%,27.3,27.3%,16.2%
06067003203,0.373134328358209,1,06067, Sacramento County,CA,3203,32.03,2680,15.7%,36.7,27.5%,7.1%
06067004502,0.369890882189754,2,06067, Sacramento County,CA,4502,45.02,5407,9.4%,29,47.7%,13.1%
06067009006,0.3623844899438304,2,06067, Sacramento County,CA,9006,90.06,5519,15.3%,35,24.6%,15.7%
06067009321,0.3541076487252125,2,06067, Sacramento County,CA,9321,93.21,5648,14.2%,36,19.7%,13.2%
06067008144,0.3512469265893923,1,06067, Sacramento County,CA,8144,81.44,2847,18.7%,35.1,12.4%,1.1%
06067007423,0.3502626970227671,2,06067, Sacramento County,CA,7423,74.23,5710,9.9%,29.6,22.8%,24.0%
06067009324,0.33377837116154874,1,06067, Sacramento County,CA,9324,93.24,2996,21.6%,44.1,11.4%,4.1%
06067007013,0.31756113051762463,1,06067, Sacramento County,CA,7013,70.13,3149,9.4%,32.9,39.0%,12.3%
06067009005,0.31017369727047145,1,06067, Sacramento County,CA,9005,90.05,3224,11.8%,30.3,18.2%,9.6%
06067005508,0.2995805871779509,1,06067, Sacramento County,CA,5508,55.08,3338,15.2%,36.2,25.3%,14.1%
06067009637,0.2983293556085919,2,06067, Sacramento County,CA,9637,96.37,6704,13.8%,35.5,18.3%,16.0%
06067004501,0.28876696505919724,1,06067, Sacramento County,CA,4501,45.01,3463,12.7%,31.7,48.7%,10.8%
06067009611,0.28368794326241137,1,06067, Sacramento County,CA,9611,96.11,3525,15.4%,37.2,16.8%,15.8%
06067001200,0.28352707683583783,1,06067, Sacramento County,CA,1200,12,3527,12.8%,32.6,17.8%,6.5%
06067008122,0.278473962684489,1,06067, Sacramento County,CA,8122,81.22,3591,22.8%,37.3,10.2%,3.9%
06067004012,0.27359781121751026,1,06067, Sacramento County,CA,4012,40.12,3655,21.9%,40.3,23.1%,11.5%
06067008113,0.27344818156959255,1,06067, Sacramento County,CA,8113,81.13,3657,15.4%,34.4,21.7%,2.6%
06067004905,0.2669514148424986,2,06067, Sacramento County,CA,4905,49.05,7492,19.0%,32.4,30.4%,25.8%
06067008704,0.2644802962179318,1,06067, Sacramento County,CA,8704,87.04,3781,7.8%,33,13.9%,9.0%
06067005506,0.2602133749674733,1,06067, Sacramento County,CA,5506,55.06,3843,8.2%,29.4,32.8%,21.5%
06067009636,0.258364552383413,2,06067, Sacramento County,CA,9636,96.36,7741,12.0%,35,20.4%,9.4%
06067007010,0.25786487880350695,1,06067, Sacramento County,CA,7010,70.1,3878,9.5%,32.2,20.3%,11.4%
06067008507,0.2495632642874969,1,06067, Sacramento County,CA,8507,85.07,4007,12.4%,36.6,11.1%,1.4%
06067004601,0.2452483139178418,2,06067, Sacramento County,CA,4601,46.01,8155,12.1%,34,36.2%,15.0%
06067007104,0.23818030248898417,2,06067, Sacramento County,CA,7104,71.04,8397,8.3%,37.1,15.5%,13.1%
06067007106,0.2375296912114014,2,06067, Sacramento County,CA,7106,71.06,8420,12.3%,37.2,31.0%,9.9%
06067004005,0.2289901534234028,1,06067, Sacramento County,CA,4005,40.05,4367,35.0%,49.3,9.7%,17.4%
06067003700,0.22241992882562275,1,06067, Sacramento County,CA,3700,37,4496,11.1%,30.3,51.6%,9.8%
06067009316,0.21570319240724764,1,06067, Sacramento County,CA,9316,93.16,4636,12.2%,36.3,26.5%,13.2%
06067004300,0.2026958548697679,2,06067, Sacramento County,CA,4300,43,9867,13.8%,30,20.5%,19.8%
06067009630,0.19970044932601097,2,06067, Sacramento County,CA,9630,96.3,10015,12.7%,35.8,20.8%,14.4%
06067004602,0.17467248908296942,1,06067, Sacramento County,CA,4602,46.02,5725,11.3%,27.8,56.3%,5.7%
06067004801,0.1686056314280897,1,06067, Sacramento County,CA,4801,48.01,5931,19.2%,38,21.3%,8.6%
06067008141,0.14208581983518045,1,06067, Sacramento County,CA,8141,81.41,7038,14.7%,32.9,27.9%,6.1%
06067007105,0.14084507042253522,1,06067, Sacramento County,CA,7105,71.05,7100,12.6%,36.7,20.5%,11.4%
06067009619,0.12717792191275595,1,06067, Sacramento County,CA,9619,96.19,7863,15.9%,41.3,23.2%,8.0%
